,day_based
0,1078
1,1086.870701
2,1069.399829
3,1060.748171
4,944.5766155
5,766.840284
6,828.1715152
7,953.1443022
8,958.0762853
9,951.5589333
10,1014.934053
11,1028.160124
12,1026.125686
13,1040.89652
14,1071.006125
15,1099.87948
16,1139.130917
17,1115.812611
18,1078.891693
19,1111.989768
20,1130.34055
21,1133.284267
22,1167.804022
23,1202.647228
24,1205.571965
25,1206
26,1219.835249
27,1128.345595
28,1232.065279
29,1280.681663
30,1174.815975
31,1137.9029
32,1064.919636
33,1029.722566
34,1033.168696
35,1157.79519
36,1183.034123
37,1200.405837
38,1237.903331
39,1280.013625
40,1290.307161
41,1260.984159
42,1268.116254
43,1346.967807
44,1384.82653
45,1412.022333
46,1441.018059
47,1460.295582
48,1428.924399
49,1510.301603
50,1463.709271
51,1499.215045
52,1517.354966
53,1530.111021
54,1547.961931
55,1560.631089
56,1516.787758
57,1473.28475
58,1553.052314
59,1601.44263
60,1622.239845
61,1640.81165
62,1656.212623
63,1575.297393
64,1517.795226
65,1469.870753
66,1518.908514
67,1432.911629
68,1433
69,1394.22072
70,1362.074301
71,1342.998134
72,1315.906654
73,1333.91541
74,1396.49237
75,1463.234385
76,1474.202789
77,1465.731117
78,1460.26799
79,1499.107368
80,1514.971067
81,1504.010023
82,1442.842336
83,1482.197004
84,1516.721938
85,1527.896818
86,1550.835662
87,1547.457677
88,1584.097027
89,1606.476341
90,1557.476276
91,1512.723269
92,1535.172043
93,1536.085672
94,1479.860818
95,1476.291503
96,1523.050075
97,1490.87614
98,1559.493428
99,1588.836093
100,1565.574518
101,1503.915651
102,1452.312071
103,1476.903598
104,1400.245281
105,1385.893632
106,1411.984955
107,1401.930553
108,1414.356969
109,1398.498029
110,1443.756967
111,1457.99103
112,1456.847501
113,1379.461483
114,1355.832712
