,tick_based
0,1078
1,1078
2,1077.571727
3,1076.303165
4,1075.949494
5,1075.572724
6,1076.006807
7,1076.611547
8,1076.458891
9,1076.332421
10,1076.769601
11,1077.517194
12,1078.553154
13,1077.587566
14,1078.550218
15,1077.662757
16,1077.394984
17,1076.865269
18,1076.948296
19,1076.291868
20,1076.620267
21,1076.40872
22,1076.529484
23,1075.894695
24,1075.006157
25,1075.029977
26,1074.92214
27,1073.200631
28,1073.531431
29,1073.412674
30,1073.442891
31,1073.721073
32,1073.2477
33,1072.820244
34,1073.026956
35,1072.645401
36,1073.319473
37,1073.582952
38,1073.606459
39,1073.192358
40,1073.36298
41,1073.052689
42,1073.586356
43,1074.610512
44,1076.205834
45,1076.871572
46,1076.818252
47,1077.509263
48,1077.802294
49,1078.893247
50,1078.949986
51,1079.890419
52,1079.492651
53,1079.941294
54,1080.356375
55,1079.173615
56,1080.013528
57,1078.655015
58,1079.627439
59,1080.749419
60,1080.033803
61,1079.864231
62,1079.742395
63,1080.014674
64,1081.719993
65,1082.117623
66,1081.629206
67,1081.533513
68,1081.542609
69,1081.962878
70,1080.995501
71,1082.39721
72,1082.757032
73,1083.69383
74,1083.405752
75,1083.758197
76,1083.111796
77,1084.27956
78,1084.124331
79,1084.369439
80,1085.331814
81,1083.861154
82,1084.355605
83,1085.346875
84,1086.456204
85,1086.661274
86,1086.705321
87,1086.517707
88,1086.101328
89,1087.148349
90,1087.632273
91,1087.282522
92,1087.16853
93,1088.010829
94,1089.667562
95,1088.941379
96,1089.932289
97,1091.073869
98,1091.983967
99,1092.043103
100,1092.802756
101,1093.946431
102,1094.948634
103,1097.887981
104,1098.111727
105,1098.559398
106,1097.993562
107,1098.507963
108,1097.591061
109,1099.349948
110,1098.268995
111,1098.507827
112,1098.645116
113,1099.185025
114,1100.917028
115,1101.805781
116,1102.245835
117,1102.429551
118,1102.529921
119,1102.924679
120,1103.238717
121,1103.411426
122,1103.135907
123,1102.257339
124,1101.97713
125,1102.021332
